split,target_id,decoy_id,label,sample_id
train,T0407,FFASsuboptimal_TS2,0,T0407/FFASsuboptimal_TS2
train,T0679,PMS_TS5,0,T0679/PMS_TS5
train,T0146,T0146TS373_1,0,T0146/T0146TS373_1
train,T0652,PconsD_TS1,0,T0652/PconsD_TS1
train,T0351,3D-JIGSAW_RECOM_TS5,0,T0351/3D-JIGSAW_RECOM_TS5
train,T0190,T0190TS370_2,0,T0190/T0190TS370_2
train,T0285,3Dpro_TS2,0,T0285/3Dpro_TS2
train,T0478,MUProt_TS5,0,T0478/MUProt_TS5
train,T0518,FAMSD_TS2,0,T0518/FAMSD_TS2
train,T0613,MUFOLD-MD_TS5,0,T0613/MUFOLD-MD_TS5
train,T0517,Seok-server_TS2,0,T0517/Seok-server_TS2
train,T0400,COMA-M_TS4,0,T0400/COMA-M_TS4
train,T0563,MULTICOM-REFINE_TS5,0,T0563/MULTICOM-REFINE_TS5
train,T0638,Jiang_THREADER_TS5,0,T0638/Jiang_THREADER_TS5
train,T0395,SAM-T02-server_AL5,0,T0395/SAM-T02-server_AL5
train,T0261,T0261TS126_2,0,T0261/T0261TS126_2
train,T0129,T0129TS377_3,0,T0129/T0129TS377_3
train,T0162,T0162TS051_4_3,0,T0162/T0162TS051_4_3
train,T0365,POMYSL_TS4,0,T0365/POMYSL_TS4
train,T0305,ROBETTA_TS5,0,T0305/ROBETTA_TS5
train,T0509,FFASsuboptimal_TS4,0,T0509/FFASsuboptimal_TS4
train,T0699,RBO-i-MBS_TS4,0,T0699/RBO-i-MBS_TS4
train,T0659,BhageerathH_TS3,0,T0659/BhageerathH_TS3
train,T0573,MULTICOM-NOVEL_TS3,0,T0573/MULTICOM-NOVEL_TS3
train,T0367,Phyre-2_TS3,0,T0367/Phyre-2_TS3
train,T0727,RBO-i-MBS_TS1,0,T0727/RBO-i-MBS_TS1
train,T0197,T0197TS437_3,0,T0197/T0197TS437_3
train,T0686,samcha-server_TS1,0,T0686/samcha-server_TS1
train,T0357,forecast-s_AL3,0,T0357/forecast-s_AL3
train,T0594,3D-JIGSAW_V4-5_TS2,0,T0594/3D-JIGSAW_V4-5_TS2
train,T0157,T0157TS050_3,0,T0157/T0157TS050_3
train,T0332,Zhang-Server_TS2,0,T0332/Zhang-Server_TS2
