target_id,decoy_id,tm,gdt_ts,gdt_ha,rmsd,split,label,sample_id
T0759,3D-Jigsaw-V5_1_TS1,0.3583,0.3568,0.2995,14.527999999999999,val,0,T0759/3D-Jigsaw-V5_1_TS1
T0759,3D-Jigsaw-V5_1_TS2,0.3446,0.3568,0.2891,14.645,val,0,T0759/3D-Jigsaw-V5_1_TS2
T0759,Atome2_CBS_TS1,0.1787,0.1901,0.1354,16.885,val,0,T0759/Atome2_CBS_TS1
T0759,MULTICOM-REFINE_TS4,0.3747,0.3724,0.2995,13.81,val,0,T0759/MULTICOM-REFINE_TS4
T0764,MULTICOM-CONSTRUCT_TS3,0.8596,0.7539,0.5818,5.118,train,1,T0764/MULTICOM-CONSTRUCT_TS3
T0819,eThread_TS1,0.8315,0.5933,0.3651,3.7319999999999998,train,1,T0819/eThread_TS1
T0428,keasar-server_TS4,0.9778,0.9541,0.8122,0.8690000000000001,train,1,T0428/keasar-server_TS4
T0428,keasar-server_TS5,0.9777,0.9563,0.8144,0.87,train,1,T0428/keasar-server_TS5
T0428,mGenTHREADER_TS1,0.978,0.9552,0.8177,0.866,train,1,T0428/mGenTHREADER_TS1
T0428,mariner1_TS1,0.96,0.9258,0.7828,1.25,train,1,T0428/mariner1_TS1
T0428,mariner1_TS2,0.9619,0.929,0.8002,1.232,train,1,T0428/mariner1_TS2
T0428,mariner1_TS3,0.9601,0.9258,0.7859999999999999,1.255,train,1,T0428/mariner1_TS3
T0428,mariner1_TS4,0.9466,0.8996,0.7402,1.5319999999999998,train,1,T0428/mariner1_TS4
T0428,mariner1_TS5,0.9379,0.8832,0.7282,1.6580000000000001,train,1,T0428/mariner1_TS5
T0428,nFOLD3_TS1,0.9597,0.9247,0.7871,1.258,train,1,T0428/nFOLD3_TS1
T0428,nFOLD3_TS2,0.9597,0.9247,0.7871,1.258,train,1,T0428/nFOLD3_TS2
T0819,eThread_TS2,0.9068,0.7452,0.5232,2.7030000000000003,train,1,T0819/eThread_TS2
T0428,nFOLD3_TS3,0.9317,0.8821,0.7314,1.59,train,1,T0428/nFOLD3_TS3
T0428,nFOLD3_TS4,0.9536,0.9225,0.7784,1.38,train,1,T0428/nFOLD3_TS4
T0428,nFOLD3_TS5,0.978,0.9552,0.8177,0.866,train,1,T0428/nFOLD3_TS5
T0428,panther_server_TS1,0.975,0.9498,0.7882,0.922,train,1,T0428/panther_server_TS1
T0428,panther_server_TS2,0.8932,0.75,0.5284,2.145,train,1,T0428/panther_server_TS2
T0428,panther_server_TS3,0.9551,0.9127,0.7413,1.321,train,1,T0428/panther_server_TS3
T0428,panther_server_TS4,0.9392,0.8712,0.69,1.571,train,1,T0428/panther_server_TS4
T0428,panther_server_TS5,0.9453,0.8788,0.6921,1.459,train,1,T0428/panther_server_TS5
T0428,pipe_int_TS1,0.9601,0.9258,0.7817,1.251,train,1,T0428/pipe_int_TS1
T0428,pipe_int_TS2,0.9601,0.9269,0.7828,1.252,train,1,T0428/pipe_int_TS2
T0819,eThread_TS3,0.8402,0.6185,0.3937,3.7060000000000004,train,1,T0819/eThread_TS3
T0428,pipe_int_TS3,0.9058,0.8384,0.6594,2.247,train,1,T0428/pipe_int_TS3
T0428,pipe_int_TS4,0.978,0.9552,0.8177,0.866,train,1,T0428/pipe_int_TS4
T0428,pipe_int_TS5,0.9527,0.917,0.7729,1.3869999999999998,train,1,T0428/pipe_int_TS5
T0428,pro-sp3-TASSER_TS1,0.9605,0.9258,0.7817,1.246,train,1,T0428/pro-sp3-TASSER_TS1
T0428,pro-sp3-TASSER_TS2,0.9598,0.9279,0.7838,1.255,train,1,T0428/pro-sp3-TASSER_TS2
T0428,pro-sp3-TASSER_TS3,0.96,0.9247,0.7795,1.25,train,1,T0428/pro-sp3-TASSER_TS3
T0428,pro-sp3-TASSER_TS4,0.9595,0.9258,0.7631,1.254,train,1,T0428/pro-sp3-TASSER_TS4
T0428,pro-sp3-TASSER_TS5,0.9562,0.917,0.7369,1.306,train,1,T0428/pro-sp3-TASSER_TS5
T0428,rehtnap_TS1,0.9552,0.9028,0.7391,1.304,train,1,T0428/rehtnap_TS1
T0428,rehtnap_TS2,0.9559,0.9094,0.7369,1.296,train,1,T0428/rehtnap_TS2
T0819,eThread_TS4,0.8768,0.7125,0.5048,3.658,train,1,T0819/eThread_TS4
T0428,rehtnap_TS3,0.9576,0.9083,0.7424,1.265,train,1,T0428/rehtnap_TS3
T0428,schenk-torda-server_TS1,0.1485,0.0862,0.0535,24.785999999999998,train,0,T0428/schenk-torda-server_TS1
T0428,schenk-torda-server_TS2,0.1575,0.0906,0.0546,19.879,train,0,T0428/schenk-torda-server_TS2
T0428,schenk-torda-server_TS3,0.1486,0.0841,0.048,21.183000000000003,train,0,T0428/schenk-torda-server_TS3
T0428,schenk-torda-server_TS4,0.1758,0.0873,0.0469,20.189,train,0,T0428/schenk-torda-server_TS4
T0428,schenk-torda-server_TS5,0.1635,0.0983,0.0513,24.391,train,0,T0428/schenk-torda-server_TS5
T0429,3D-JIGSAW_AEP_TS1,0.3264,0.3089,0.2411,12.635,val,0,T0429/3D-JIGSAW_AEP_TS1
T0429,3D-JIGSAW_AEP_TS2,0.317,0.3071,0.2375,12.488,val,0,T0429/3D-JIGSAW_AEP_TS2
T0429,3D-JIGSAW_AEP_TS3,0.3148,0.2982,0.2286,13.658,val,0,T0429/3D-JIGSAW_AEP_TS3
T0429,3D-JIGSAW_AEP_TS4,0.2927,0.2804,0.2196,14.587,val,0,T0429/3D-JIGSAW_AEP_TS4
T0819,eThread_TS5,0.8595,0.6594,0.4455,3.68,train,1,T0819/eThread_TS5
T0429,3D-JIGSAW_AEP_TS5,0.3174,0.2982,0.2357,13.47,val,0,T0429/3D-JIGSAW_AEP_TS5
T0429,3D-JIGSAW_V3_TS1,0.3323,0.3107,0.2304,14.243,val,0,T0429/3D-JIGSAW_V3_TS1
T0429,3D-JIGSAW_V3_TS2,0.3192,0.2946,0.2161,16.116,val,0,T0429/3D-JIGSAW_V3_TS2
T0429,3D-JIGSAW_V3_TS3,0.3272,0.3036,0.2196,15.97,val,0,T0429/3D-JIGSAW_V3_TS3
T0429,3D-JIGSAW_V3_TS4,0.32299999999999995,0.3,0.2214,17.459,val,0,T0429/3D-JIGSAW_V3_TS4
T0429,3D-JIGSAW_V3_TS5,0.3196,0.2964,0.2179,17.248,val,0,T0429/3D-JIGSAW_V3_TS5
T0429,3DShot2_TS1,0.3219,0.2696,0.1768,18.781,val,0,T0429/3DShot2_TS1
T0429,3Dpro_TS1,0.1623,0.1143,0.0696,18.278,val,0,T0429/3Dpro_TS1
T0429,3Dpro_TS2,0.1657,0.1161,0.0661,22.316999999999997,val,0,T0429/3Dpro_TS2
T0429,3Dpro_TS3,0.1261,0.0964,0.0607,24.644000000000002,val,0,T0429/3Dpro_TS3
T0819,myprotein-me_TS1,0.9432,0.8392,0.6431,2.141,train,1,T0819/myprotein-me_TS1
T0429,3Dpro_TS4,0.1393,0.1054,0.0661,25.133000000000003,val,0,T0429/3Dpro_TS4
T0429,3Dpro_TS5,0.1117,0.0893,0.0607,24.848000000000003,val,0,T0429/3Dpro_TS5
T0429,ACOMPMOD_TS1,0.1333,0.1107,0.0696,16.118,val,0,T0429/ACOMPMOD_TS1
T0429,ACOMPMOD_TS2,0.2096,0.1929,0.1643,19.46,val,0,T0429/ACOMPMOD_TS2
T0429,ACOMPMOD_TS3,0.0544,0.0554,0.0429,9.026,val,0,T0429/ACOMPMOD_TS3
T0429,ACOMPMOD_TS4,0.1612,0.1286,0.0768,15.488,val,0,T0429/ACOMPMOD_TS4
T0429,ACOMPMOD_TS5,0.2004,0.1964,0.1643,5.146,val,0,T0429/ACOMPMOD_TS5
T0429,BAKER-ROBETTA_TS1,0.2171,0.2054,0.1607,19.996,val,0,T0429/BAKER-ROBETTA_TS1
T0429,BAKER-ROBETTA_TS2,0.2169,0.2054,0.1571,19.555,val,0,T0429/BAKER-ROBETTA_TS2
T0429,BAKER-ROBETTA_TS3,0.2276,0.2018,0.1429,19.868,val,0,T0429/BAKER-ROBETTA_TS3
T0819,myprotein-me_TS2,0.9118,0.8079,0.6213,7.836,train,1,T0819/myprotein-me_TS2
T0429,BAKER-ROBETTA_TS4,0.2308,0.2089,0.1571,19.604,val,0,T0429/BAKER-ROBETTA_TS4
T0429,BAKER-ROBETTA_TS5,0.2211,0.2125,0.1679,19.968,val,0,T0429/BAKER-ROBETTA_TS5
T0429,BioSerf_TS1,0.1673,0.1286,0.0821,19.294,val,0,T0429/BioSerf_TS1
T0429,COMA-M_TS1,0.3631,0.2982,0.1643,8.607000000000001,val,0,T0429/COMA-M_TS1
T0429,COMA-M_TS2,0.3631,0.2982,0.1643,8.607000000000001,val,0,T0429/COMA-M_TS2
T0429,COMA-M_TS3,0.3296,0.2804,0.1518,9.886000000000001,val,0,T0429/COMA-M_TS3
T0429,COMA-M_TS4,0.3296,0.2804,0.1518,9.886000000000001,val,0,T0429/COMA-M_TS4
T0429,COMA-M_TS5,0.3296,0.2804,0.1518,9.886000000000001,val,0,T0429/COMA-M_TS5
T0429,COMA_TS1,0.1833,0.1375,0.0696,16.092,val,0,T0429/COMA_TS1
T0429,COMA_TS2,0.1445,0.1018,0.0643,22.124000000000002,val,0,T0429/COMA_TS2
T0819,myprotein-me_TS3,0.8325,0.6274,0.4067,4.218,train,1,T0819/myprotein-me_TS3
T0429,COMA_TS3,0.1726,0.1214,0.0696,22.6,val,0,T0429/COMA_TS3
T0429,COMA_TS4,0.3296,0.2804,0.1518,9.886000000000001,val,0,T0429/COMA_TS4
